Part,Item,Estereotipia,Morfologia,RToracion,RTrta,RTA,Lista,Oracion,Edad,Genero,Pais,Residencia,Educacion,NoBinario
1,54,3,x,4070,3168,mixto,B,Lxs bomberxs a cargo de la estaci&oacute;n controlan el funcionamiento de las autobombas.,27,mujer,Argentina,AMBA,universitario en curso,nada
1,64,2,o,5360,4214,masc.p,B,Los funcionarios organizan su tiempo en funci&oacute;n de las demandas presidenciales.,27,mujer,Argentina,AMBA,universitario en curso,nada
1,59,3,e,8879,8274,mixto,B,Les carpinteres de oficio hacen el lijado de los muebles con mucha precisi&oacute;n.,27,mujer,Argentina,AMBA,universitario en curso,nada
1,66,3,o,5767,14774,masc.p,B,Los camioneros con experiencia manejan por la ruta durante toda la noche.,27,mujer,Argentina,AMBA,universitario en curso,nada
1,65,3,o,7308,5150,masc.p,B,Los porteros de las escuelas conocen a todos los estudiantes y sus padres.,27,mujer,Argentina,AMBA,universitario en curso,nada
1,53,3,x,4800,6343,mixto,B,Lxs plomerxs con matr&iacute;cula pueden hacer trabajos en edificios y consorcios.,27,mujer,Argentina,AMBA,universitario en curso,nada
1,57,2,e,7079,7431,mixto,B,Les ingenieres revisan la porosidad de los materiales utilizados en la construcci&oacute;n.,27,mujer,Argentina,AMBA,universitario en curso,nada
1,51,2,x,5207,3839,mixto,B,Lxs enfermerxs tienen obligaci&oacute;n de actuar si hay un accidente en la v&iacute;a p&uacute;blica.,27,mujer,Argentina,AMBA,universitario en curso,nada
1,49,1,x,6871,3766,mixto,B,Lxs maestrxs usan recursos variados durante la alfabetizaci&oacute;n inicial.,27,mujer,Argentina,AMBA,universitario en curso,nada
1,50,1,x,9367,5743,mixto,B,Lxs alumnxs de secundaria suelen manejar g&eacute;neros textuales b&aacute;sicos.,27,mujer,Argentina,AMBA,universitario en curso,nada
1,52,2,x,5968,3183,mixto,B,Lxs cirujanxs cumplen con estrictas normas de higiene para ingresar al quir&oacute;fano.,27,mujer,Argentina,AMBA,universitario en curso,nada
1,61,1,o,4638,7295,mixto,B,Los ni&ntilde;os siempre empiezan el jard&iacute;n con un per&iacute;odo de adaptaci&oacute;n inicial.,27,mujer,Argentina,AMBA,universitario en curso,nada
1,58,2,e,5485,2767,mixto,B,Les arquitectes realizan los planos para edificios en modernos programas inform&aacute;ticos.,27,mujer,Argentina,AMBA,universitario en curso,nada
1,56,1,e,5246,2807,mixto,B,Les hijes de padres separados tienen reacciones muy variadas ante la situaci&oacute;n.,27,mujer,Argentina,AMBA,universitario en curso,nada
1,55,1,e,6967,6855,mixto,B,Les abueles cumplen un rol central durante la crianza en sociedades modernas.,27,mujer,Argentina,AMBA,universitario en curso,nada
1,60,3,e,4959,6518,mixto,B,Les herreres con trayectoria fabrican las herramientas que usan para su oficio.,27,mujer,Argentina,AMBA,universitario en curso,nada
1,62,1,o,6632,2855,masc.p,B,Los hermanos de familias numerosas adquieren autonom&iacute;a r&aacute;pido.,27,mujer,Argentina,AMBA,universitario en curso,nada
1,63,2,o,11607,2558,masc.p,B,Los cocineros siempre organizan los ingredientes sobre la mesada para cocinar.,27,mujer,Argentina,AMBA,universitario en curso,nada
2,106,2,o,4458,5609,masc.p,C,Los arquitectos realizan los planos para edificios en modernos programas inform&aacute;ticos.,28,mujer,Argentina,AMBA,universitario en curso,mucho
2,109,1,x,3643,5420,mixto,C,Lxs ni&ntilde;xs siempre empiezan el jard&iacute;n con un per&iacute;odo de adaptaci&oacute;n inicial.,28,mujer,Argentina,AMBA,universitario en curso,mucho
2,99,2,e,5587,4183,mixto,C,Les enfermeres tienen obligaci&oacute;n de actuar si hay un accidente en la v&iacute;a p&uacute;blica.,28,mujer,Argentina,AMBA,universitario en curso,mucho
2,107,3,o,7339,13749,masc.p,C,Los carpinteros de oficio hacen el lijado de los muebles con mucha precisi&oacute;n.,28,mujer,Argentina,AMBA,universitario en curso,mucho
2,112,2,x,4898,4727,mixto,C,Lxs funcionarixs organizan su tiempo en funci&oacute;n de las demandas presidenciales.,28,mujer,Argentina,AMBA,universitario en curso,mucho
2,108,3,o,11380,7543,masc.p,C,Los herreros con trayectoria fabrican las herramientas que usan para su oficio.,28,mujer,Argentina,AMBA,universitario en curso,mucho
2,102,3,e,6524,6730,mixto,C,Les bomberes a cargo de la estaci&oacute;n controlan el funcionamiento de las autobombas.,28,mujer,Argentina,AMBA,universitario en curso,mucho
2,100,2,e,3946,10078,mixto,C,Les cirujanes cumplen con estrictas normas de higiene para ingresar al quir&oacute;fano.,28,mujer,Argentina,AMBA,universitario en curso,mucho
2,104,1,o,4979,10130,mixto,C,Los hijos de padres separados tienen reacciones muy variadas ante la situaci&oacute;n.,28,mujer,Argentina,AMBA,universitario en curso,mucho
2,113,3,x,5043,7007,mixto,C,Lxs porterxs de las escuelas conocen a todos los estudiantes y sus padres.,28,mujer,Argentina,AMBA,universitario en curso,mucho
2,103,1,o,4363,7890,mixto,C,Los abuelos cumplen un rol central durante la crianza en sociedades modernas.,28,mujer,Argentina,AMBA,universitario en curso,mucho
2,105,2,o,3595,6369,masc.p,C,Los ingenieros revisan la porosidad de los materiales utilizados en la construcci&oacute;n.,28,mujer,Argentina,AMBA,universitario en curso,mucho
2,97,1,e,4354,6152,mixto,C,Les maestres usan recursos variados durante la alfabetizaci&oacute;n inicial.,28,mujer,Argentina,AMBA,universitario en curso,mucho
2,110,1,x,2779,5043,mixto,C,Lxs hermanxs de familias numerosas adquieren autonom&iacute;a r&aacute;pido.,28,mujer,Argentina,AMBA,universitario en curso,mucho
2,101,3,e,5046,7095,mixto,C,Les plomeres con matr&iacute;cula pueden hacer trabajos en edificios y consorcios.,28,mujer,Argentina,AMBA,universitario en curso,mucho
2,114,3,x,4716,8623,mixto,C,Lxs caminionerxs con experiencia manejan por la ruta durante toda la noche.,28,mujer,Argentina,AMBA,universitario en curso,mucho
2,111,2,x,4203,4142,mixto,C,Lxs cocinerxs siempre organizan los ingredientes sobre la mesada para cocinar.,28,mujer,Argentina,AMBA,universitario en curso,mucho
2,98,1,e,4083,5879,mixto,C,Les alumnes de secundaria suelen manejar g&eacute;neros textuales b&aacute;sicos.,28,mujer,Argentina,AMBA,universitario en curso,mucho
3,10,2,x,7668,6640,mixto,A,Lxs arquitectxs realizan los planos para edificios en modernos programas inform&aacute;ticos.,28,mujer,Argentina,AMBA,universitario/posgrado,mucho
3,16,2,e,7149,5135,mixto,A,Les funcionaries organizan su tiempo en funci&oacute;n de las demandas presidenciales.,28,mujer,Argentina,AMBA,universitario/posgrado,mucho
3,5,3,o,4123,3577,masc.p,A,Los plomeros con matr&iacute;cula pueden hacer trabajos en edificios y consorcios.,28,mujer,Argentina,AMBA,universitario/posgrado,mucho
3,14,1,e,3348,5639,mixto,A,Les hermanes de familias numerosas adquieren autonom&iacute;a r&aacute;pido.,28,mujer,Argentina,AMBA,universitario/posgrado,mucho
3,8,1,x,4028,5703,mixto,A,Lxs hijxs de padres separados tienen reacciones muy variadas ante la situaci&oacute;n.,28,mujer,Argentina,AMBA,universitario/posgrado,mucho
3,6,3,o,3197,3679,masc.p,A,Los bomberos a cargo de la estaci&oacute;n controlan el funcionamiento de las autobombas.,28,mujer,Argentina,AMBA,universitario/posgrado,mucho
3,11,3,x,3924,5509,mixto,A,Lxs carpinterxs de oficio hacen el lijado de los muebles con mucha precisi&oacute;n.,28,mujer,Argentina,AMBA,universitario/posgrado,mucho
3,9,2,x,3045,4279,mixto,A,Lxs ingenierxs revisan la porosidad de los materiales utilizados en la construcci&oacute;n.,28,mujer,Argentina,AMBA,universitario/posgrado,mucho
3,2,1,o,3283,8648,mixto,A,Los alumnos de secundaria suelen manejar g&eacute;neros textuales b&aacute;sicos.,28,mujer,Argentina,AMBA,universitario/posgrado,mucho
3,7,1,x,4102,5486,mixto,A,Lxs abuelxs cumplen un rol central durante la crianza en sociedades modernas.,28,mujer,Argentina,AMBA,universitario/posgrado,mucho
3,15,2,e,3333,5039,mixto,A,Les cocineres siempre organizan los ingredientes sobre la mesada para cocinar.,28,mujer,Argentina,AMBA,universitario/posgrado,mucho
3,13,1,e,8709,3686,mixto,A,Les ni&ntilde;es siempre empiezan el jard&iacute;n con un per&iacute;odo de adaptaci&oacute;n inicial.,28,mujer,Argentina,AMBA,universitario/posgrado,mucho
3,12,3,x,3661,6119,mixto,A,Lxs herrerxs con trayectoria fabrican las herramientas que usan para su oficio.,28,mujer,Argentina,AMBA,universitario/posgrado,mucho
3,3,2,o,4068,4127,mixto,A,Los enfermeros tienen obligaci&oacute;n de actuar si hay un accidente en la v&iacute;a p&uacute;blica.,28,mujer,Argentina,AMBA,universitario/posgrado,mucho
